ocid,title,agency,planned_budget_amount,award_start,award_end,tender_date,district,sector,source_ref
ocds-rw2stw-DDOB-10480/DUDBC/Bhaktapur/Works/NCB/01/074-75,Stone Paving Work From Chyamasingh to Bhawarcho and Maintenance Work of Vajya Pukhu.,"DUDBC, DIVISION OFFICE BHAKTAPUR",,,,2018-05-13 05:00:00+05:45,Bhaktapur,Other/Uncategorized,1578
ocds-rw2stw-2DROB-10467/DROBKT/08-053/2074/075,Retaining work Construction in Lamidanda- Dolalghat (Km 56+000) ARM,204 Division Road Office Bhaktapur,,,,2018-05-10 20:00:00+05:45,Bhaktapur,Other/Uncategorized,153
ocds-rw2stw-DOA-8905/PDRF-59/074/075,"Reconstruction work of Ram Mandir Sattal, Ram MAndir premise, Bhaktapur",Department of Archaeology,,,,2018-04-06 06:00:00+05:45,Bhaktapur,Other/Uncategorized,1944
ocds-rw2stw-DOA-8912/PDRF-63/074/075,"Reconstruction work of Jetha Ganesh Dauchha,Potari Square Bhaktapur",Department of Archaeology,,,,2018-04-06 06:00:00+05:45,Bhaktapur,Other/Uncategorized,1954
ocds-rw2stw-2DROB-8049/DROBKT/07-051/2074/075,"Construction of  4-webbed Prestressed RCC Bridge(1x35m).Arniko Rajmarga - Dadhikot Road over Hanumante Khola(Mahadev Khola) , Bhaktapur.",204 Division Road Office Bhaktapur,,,,2018-03-18 22:00:00+05:45,Bhaktapur,Roads/Drainage,277
ocds-rw2stw-NWSASTC-7503/01/074-75/NWSSTC/DWSS,"Construction of Material Testing Lab Building in Nagarkot, Bhaktapur ",National Water Supply and Sanitation Training Centre,,2018-05-08T14:45:18+05:45,,2018-03-09 00:00:00+05:45,Bhaktapur,Buildings/Facilities,3639
ocds-rw2stw-DOA-6519/PDRF-23/074/075,"Conservation work of Dakchin Barahi Temple and Parisar  Dadhikot, Bhaktapur",Department of Archaeology,,,,2018-03-05 10:00:00+05:45,Bhaktapur,Other/Uncategorized,1904
ocds-rw2stw-2DROB-7070/DROBKT/06-050/2074/075,Construction of Slab Culvert Work in Panauti-Namobudha Section of Lakuribhanjyang- Panauti- Namobuddha Road.  ,204 Division Road Office Bhaktapur,,,,2018-02-25 20:00:00+05:45,Bhaktapur,Roads/Drainage,264
ocds-rw2stw-2DROB-6794/DROBKT/05-043/2074/075,"Recurrent maintenance works of  Kamalbinayak-Sudal-Adhikari Gaun-Nagarkot,:Bhaktapur-Army Camp-Nagarkot,Byasi-Changu Narayan,Nagarkot-Kattike and Phuyalgaun-Changunarayan-Phedigaun,Sallaghari-Duwakot and Sallaghari-Durbar Square  ",204 Division Road Office Bhaktapur,,,,2018-02-20 21:00:00+05:45,Bhaktapur,Other/Uncategorized,268
ocds-rw2stw-2DROB-6777/DROBKT/05-040/2074/075,Road Upgrading Works in Panchkhal palanchowk Bhagawati Road (F071) Kavre.  ,204 Division Road Office Bhaktapur,,,,2018-02-20 20:00:00+05:45,Bhaktapur,Roads/Drainage,222
ocds-rw2stw-2DROB-6797/DROBKT/05-046/2074/075," Road Upgrading Works in Chalnedunga- Khawa- Lamidanda- Dolalghat Roads, Kavre.  ",204 Division Road Office Bhaktapur,,,,2018-02-20 20:00:00+05:45,Bhaktapur,Roads/Drainage,227
ocds-rw2stw-2DROB-6793/DROBKT/05-0042/2074/075,Road Embankment and Gravelling Work in Madhyapur Hospital -Dadhikot  ,204 Division Road Office Bhaktapur,,,,2018-02-20 20:00:00+05:45,Bhaktapur,Roads/Drainage,228
ocds-rw2stw-2DROB-6798/DROBKT/05-047/2074/075,"Patch works in Chalnedhunga- Khawa- Lamidanda- Dolalghat Roads,Kavre  ",204 Division Road Office Bhaktapur,,,,2018-02-20 20:00:00+05:45,Bhaktapur,Roads/Drainage,231
ocds-rw2stw-2DROB-6795/DROBKT/05-044/2074/075, Black Top Work and Masonary Works in Kamal Binayak-Sudal-Adhikari Gau-Nagarkot Road  ,204 Division Road Office Bhaktapur,,,,2018-02-20 20:00:00+05:45,Bhaktapur,Roads/Drainage,237
